nome,email,empresa,segmento,porte
"CLINICA OFTALMOLOGICA PRISMA S/S","ioa.oftalmo@uol.com.br","CLINICA OFTALMOLOGICA PRISMA S/S","Clinica","ME/MEI"
"ORTOSPORT - ORTOPEDIA E TRAUMATOLOGIA DO ESPORTE LTDA","legal@notaricontabil.com.br","ORTOSPORT - ORTOPEDIA E TRAUMATOLOGIA DO ESPORTE LTDA","Clinica","EPP"
"MAREA LANCHONETE LTDA","universal@unicontab.com.br","MAREA LANCHONETE LTDA","Restaurante","ME/MEI"
"AOGIC PREVENCAO E SAUDE LTDA","control.legal@outlook.com","AOGIC PREVENCAO E SAUDE LTDA","Clinica","ME/MEI"
"MARIA EDILEUZA RODRIGUES FERNANDES BAR","edileuzarf21@gmail.com","MARIA EDILEUZA RODRIGUES FERNANDES BAR","Restaurante","ME/MEI"
"COIC CLINICA OFTALMOLOGICA INTEGRADA CLINICO CIRURGICA LTDA","societario@contabilmoyses.com.br","COIC CLINICA OFTALMOLOGICA INTEGRADA CLINICO CIRURGICA LTDA","Clinica","EPP"
"MACHADO E RIVITTI DERMATOLOGIA  LTDA","juliana.almeida@apisassociados.com.br","MACHADO E RIVITTI DERMATOLOGIA  LTDA","Clinica","ME/MEI"
"FAYRUSS & SIMONE MEDICOS E ASSOCIADOS LTDA","equi.ink@gmail.com","FAYRUSS & SIMONE MEDICOS E ASSOCIADOS LTDA","Clinica","ME/MEI"
"ENDO & IMAGENS SERVICOS MEDICOS S/S.","juliana.almeida@apisassociados.com.br","ENDO & IMAGENS SERVICOS MEDICOS S/S.","Clinica","EPP"
"UBAJARA CASA DO NORTE E MERCEARIA LTDA","wagnermoreiraaraujo07@gmail.com","UBAJARA CASA DO NORTE E MERCEARIA LTDA","Restaurante","ME/MEI"
"LANCHONETE PORTO ALTO LTDA","rosana.juridico@bol.com.br","LANCHONETE PORTO ALTO LTDA","Restaurante","ME/MEI"
"CORPO EM EVIDENCIA CLINICA MEDICA LTDA","contato@corpoemevidencia.com.br","CORPO EM EVIDENCIA CLINICA MEDICA LTDA","Clinica","ME/MEI"
"S. DO RAMO MATA RIBEIRO - CANTINA","www.nilda.ssantos@terra.com.br","S. DO RAMO MATA RIBEIRO - CANTINA","Restaurante","ME/MEI"
"JAGUARE LANCHES LTDA","rlandin@simplewaycontabilcom.br","JAGUARE LANCHES LTDA","Restaurante","ME/MEI"
"VAISBERG SERVICOS MEDICOS LTDA","alvais@uol.com.br","VAISBERG SERVICOS MEDICOS LTDA","Clinica","ME/MEI"
"HAMBURGUERIA ANDREY LTDA","lopes-santosassessoria@hotmail.com","HAMBURGUERIA ANDREY LTDA","Restaurante","ME/MEI"
"BAR E LANCHES PIONEIRO'S LIMITADA","haroldo.contador@ig.com.br","BAR E LANCHES PIONEIRO'S LIMITADA","Restaurante","ME/MEI"
"MED MFERNANDES SERVICOS MEDICOS LTDA","mrclfernandes@hotmail.com","MED MFERNANDES SERVICOS MEDICOS LTDA","Clinica","ME/MEI"
"PRINTA BAR LTDA","escomcontabil@terra.com.br","PRINTA BAR LTDA","Restaurante","ME/MEI"
"MEGA PROMOCOES E EVENTOS LTDA","alexandregbrito@outlook.com","MEGA PROMOCOES E EVENTOS LTDA","Restaurante","ME/MEI"
"CENTRO NEUROCIRURGICO DE SAO PAULO LTDA","diema@pop.com.br","CENTRO NEUROCIRURGICO DE SAO PAULO LTDA","Clinica","EPP"
"HATANAKA PRESTACAO DE SERVICOS MEDICOS SS","marcelo.hatanaka@gmail.com","HATANAKA PRESTACAO DE SERVICOS MEDICOS SS","Clinica","ME/MEI"
"CEAAD - PRESTADORA DE SERVICOS MEDICOS LTDA.","joeni@terra.com.br","CEAAD - PRESTADORA DE SERVICOS MEDICOS LTDA.","Clinica","EPP"
"ENDO-GASTRO GASTROENTEREOLOGIA E ENDOSCOPIA DIGESTIVA LTDA","eclcontabil@eclcontabil.com.br","ENDO-GASTRO GASTROENTEREOLOGIA E ENDOSCOPIA DIGESTIVA LTDA","Clinica","ME/MEI"
"LCC ATENDIMENTO MEDICO LTDA","rafael@priollidacunha.com","LCC ATENDIMENTO MEDICO LTDA","Clinica","ME/MEI"
"WALDIR CURIATI DERMATOLOGIA LTDA","astecocontabil@terra.com.br","WALDIR CURIATI DERMATOLOGIA LTDA","Clinica","ME/MEI"
"ECM SERVICOS MEDICOS LTDA","ecmclinicacardio@gmail.com","ECM SERVICOS MEDICOS LTDA","Clinica","EPP"
"ESPETO DO SUL LANCHONETE LTDA","atorrico@terra.com.br","ESPETO DO SUL LANCHONETE LTDA","Restaurante","ME/MEI"
"LANCHONETE ARACA LTDA","servcontalita@uol.com.br","LANCHONETE ARACA LTDA","Restaurante","ME/MEI"
"CARLOS ROGERIO EGIDIO BAR LANCHES","daribeiro@uol.com.br","CARLOS ROGERIO EGIDIO BAR LANCHES","Restaurante","ME/MEI"
"OKAMOTO UETA SERVICOS MEDICOS SOCIEDADE SIMPLES LTDA.","societario@fitcontabil.com.br","OKAMOTO UETA SERVICOS MEDICOS SOCIEDADE SIMPLES LTDA.","Clinica","ME/MEI"
"BAR, LANCHONETE E MERCEARIA KAJEC LTDA","servicon-contabilidade@uol.com.br","BAR, LANCHONETE E MERCEARIA KAJEC LTDA","Restaurante","ME/MEI"
"BAR E LANCHES K-TISPERO LTDA","barelanchesktispero@barelanchesktispero.com.br","BAR E LANCHES K-TISPERO LTDA","Restaurante","ME/MEI"
"CLINICA MEDICA FAVERO S/S LTDA","emersonfavero@gmail.com","CLINICA MEDICA FAVERO S/S LTDA","Clinica","EPP"
"ALVARENGA SERVICOS MEDICOS S/S","alvarenga.orl@gmail.com","ALVARENGA SERVICOS MEDICOS S/S","Clinica","EPP"
"JOSE GOMES LACERDA FEIRANTE","takedaesoubihe@hotmail.com","JOSE GOMES LACERDA FEIRANTE","Restaurante","ME/MEI"
"CLINICA DE NEUROFISIOLOGIA DRA. CARMEN HIERRO TORNE LTDA","pacocont@pacocont.com.br","CLINICA DE NEUROFISIOLOGIA DRA. CARMEN HIERRO TORNE LTDA","Clinica","ME/MEI"
"INSTITUTO DE MEDICINA E CIRURGIA FIORELLI S/S","clorg@uol.com.br","INSTITUTO DE MEDICINA E CIRURGIA FIORELLI S/S","Clinica","ME/MEI"
"M & M PRIMA SAUDE LTDA","mmpsaude@yahoo.com.br","M & M PRIMA SAUDE LTDA","Clinica","ME/MEI"
"CLINICA OTORRINOLARINGOLOGICA INDIANOPOLIS LTDA","contato@kardios.com.br","CLINICA OTORRINOLARINGOLOGICA INDIANOPOLIS LTDA","Clinica","ME/MEI"
"MESCHA SERVICE LTDA","danschaffa@gmail.com.br","MESCHA SERVICE LTDA","Clinica","ME/MEI"
"CLINICA DRA. LADIJANE MARIA DUARTE LTDA","clinicadraladijane@hotmail.com","CLINICA DRA. LADIJANE MARIA DUARTE LTDA","Clinica","ME/MEI"
"BLOOD CARE SERVICOS HEMATOLOGICOS LTDA","iraci@chsp.org.br","BLOOD CARE SERVICOS HEMATOLOGICOS LTDA","Clinica","EPP"
"INTEGRAREVIDA SERVICOS EM SAUDE LTDA","dpto-legal1@ctw.com.br","INTEGRAREVIDA SERVICOS EM SAUDE LTDA","Clinica","ME/MEI"
"948 ESFIHARIA E ROTISSERIE LTDA","contato@ligesfiha.com.br","948 ESFIHARIA E ROTISSERIE LTDA","Restaurante","ME/MEI"
"CLINICA PAULISTA DE NEUROCIRURGIA ONCOLOGICA LTDA","marcosmaldaun@hotmail.com","CLINICA PAULISTA DE NEUROCIRURGIA ONCOLOGICA LTDA","Clinica","ME/MEI"
"CLINICA SYNESIS LTDA","contratos@sahcontabil.com","CLINICA SYNESIS LTDA","Clinica","ME/MEI"
"LANCHES CHARLES DOG S LTDA","administrativo@charlesdog.com.br","LANCHES CHARLES DOG S LTDA","Restaurante","EPP"
"SUSANA FERREIRA DA SILVA LANCHONETE","cesim@ig.com.br","SUSANA FERREIRA DA SILVA LANCHONETE","Restaurante","ME/MEI"
"A. G. CLINICA PEDIATRICA LTDA","viche.antonelli@terra.com.br","A. G. CLINICA PEDIATRICA LTDA","Clinica","EPP"
"BAR E LANCHES RAISSA LTDA","gerlanio+@hotmail.com","BAR E LANCHES RAISSA LTDA","Restaurante","ME/MEI"
"UNIPLAS CIRURGIOES PLASTICOS ASSOCIADOS LTDA","andrereiff@uol.com.br","UNIPLAS CIRURGIOES PLASTICOS ASSOCIADOS LTDA","Clinica","EPP"
"CEOC - CENTRO ESPECIALIZADO DE OTORRINOLARINGOLOGIA LTDA","contratos@sahcontabil.com.br","CEOC - CENTRO ESPECIALIZADO DE OTORRINOLARINGOLOGIA LTDA","Clinica","EPP"
"LANCHONETE E PASTELARIA HUNG SHENG LTDA","jmr@jmrcontabil.com.br","LANCHONETE E PASTELARIA HUNG SHENG LTDA","Restaurante","ME/MEI"
"VITAE CLINICA MEDICA INTEGRADA LTDA","anaclaudiascarabel@msn.com","VITAE CLINICA MEDICA INTEGRADA LTDA","Clinica","ME/MEI"
"CIRURGIA VASCULAR LTDA","maxiqualy@uol.com.br","CIRURGIA VASCULAR LTDA","Clinica","ME/MEI"
"CATOAL SERVICOS MEDICOS S/S","sgtommaso@gmail.com","CATOAL SERVICOS MEDICOS S/S","Clinica","EPP"
"LEME & VENDRAMINI SERVICOS MEDICOS S/S","fatima@apisassociados.com.br","LEME & VENDRAMINI SERVICOS MEDICOS S/S","Clinica","ME/MEI"
"BAR E LANCHES DIGO LTDA","contabildouglas@globo.com","BAR E LANCHES DIGO LTDA","Restaurante","ME/MEI"
"ORL ASSOCIADOS SERVICOS MEDICOS LTDA","priscontdp@uol.com.br","ORL ASSOCIADOS SERVICOS MEDICOS LTDA","Clinica","ME/MEI"
"LANCHONETE CUCA BRASILEIRA LTDA","denilson_contador@yahoo.com.br","LANCHONETE CUCA BRASILEIRA LTDA","Restaurante","ME/MEI"
"RINALDIS SERVICOS MEDICOS LTDA","wrc@uol.com.br","RINALDIS SERVICOS MEDICOS LTDA","Clinica","ME/MEI"
"BAR E CAFE ARRASTAO LTDA","willian.esmeralda@hotmail.com","BAR E CAFE ARRASTAO LTDA","Restaurante","ME/MEI"
"BAR E CAFE SOBRAL LTDA","contato@contabilanser.com.br","BAR E CAFE SOBRAL LTDA","Restaurante","ME/MEI"
"CIRUVASC CLINICA ESPECIALIZADA EM CIRURGIA VASCULAR SS","apoio@apoiocontabilidade.com.br","CIRUVASC CLINICA ESPECIALIZADA EM CIRURGIA VASCULAR SS","Clinica","ME/MEI"
"AVICOLA KOMABEM LTDA","participativaassessoria@gmail.com","AVICOLA KOMABEM LTDA","Restaurante","ME/MEI"
"BAR E CAFE 1463 LTDA","novacontabil@novacontabil.net.br","BAR E CAFE 1463 LTDA","Restaurante","ME/MEI"
"ROSMARINO RESTAURANTE LTDA","rosmarino@uol.com.br","ROSMARINO RESTAURANTE LTDA","Restaurante","EPP"
"BAR DO CUMPADI LTDA","ams@amscontabil.com.br","BAR DO CUMPADI LTDA","Restaurante","ME/MEI"
"COMERCIO DE ALIMENTOS CANTINHO DA ROCA LTDA","cantinhodarocca@ig.com.br","COMERCIO DE ALIMENTOS CANTINHO DA ROCA LTDA","Restaurante","ME/MEI"
"SENA'S ESCRITORIO BAR E HAMBURGUER LTDA","st.contabil@uol.com.br","SENA'S ESCRITORIO BAR E HAMBURGUER LTDA","Restaurante","ME/MEI"
"GILVAN VALDO DOS SANTOS","selcron@selcron.com.br","GILVAN VALDO DOS SANTOS","Restaurante","ME/MEI"
"CANTINA DO COLEGIO JOAO XXIII LTDA","catinajoao23@hotmail.com","CANTINA DO COLEGIO JOAO XXIII LTDA","Restaurante","EPP"
"MARTA MARIA MARCON BUENO","cavalcante@cavalcante.com.br","MARTA MARIA MARCON BUENO","Restaurante","ME/MEI"
"LANCHONETE PANAMERICANA LTDA","aberturapj@exacontabil.com.br","LANCHONETE PANAMERICANA LTDA","Restaurante","ME/MEI"
"BAR E LANCHES PITALMEIDA LTDA","hhh@gmai.com","BAR E LANCHES PITALMEIDA LTDA","Restaurante","ME/MEI"
"BAR E RESTAURANTE JUCALEMAO LIMITADA","cidacontratos@montiiconsultoria.com.br","BAR E RESTAURANTE JUCALEMAO LIMITADA","Restaurante","EPP"
"VOLTILANCHES LTDA","pontualcontabil1@hotmail.com","VOLTILANCHES LTDA","Restaurante","ME/MEI"
"CLINICA MEDICA CAMELO NUNES LTDA","liana.fontoura@vilalbafontoura.com.br","CLINICA MEDICA CAMELO NUNES LTDA","Clinica","EPP"
"J. JERONIMO DA SILVA ADEGA E RESTAURANTE","jose.jeronimodasilva1947@gmail.com","J. JERONIMO DA SILVA ADEGA E RESTAURANTE","Restaurante","ME/MEI"
"OKAMURA COMERCIO DE ALIMENTOS LTDA","arthur@agcrcontabil.com.br","OKAMURA COMERCIO DE ALIMENTOS LTDA","Restaurante","ME/MEI"
"CIRPLASGI - CIRURGIA PLASTICA SERVICOS MEDICOS LTDA","cirplasgi1961@gmail.com","CIRPLASGI - CIRURGIA PLASTICA SERVICOS MEDICOS LTDA","Clinica","ME/MEI"
"AMARO JOSE SILVEIRA DE CAMARGO DIAGNOSTICO E REABILITACAO EM MEDICINA LTDA","atendimento@clinicaamarocamargo.com.br","AMARO JOSE SILVEIRA DE CAMARGO DIAGNOSTICO E REABILITACAO EM MEDICINA LTDA","Clinica","EPP"
"FOSTER - SERVICOS MEDICOS LTDA","contato@rkita.com.br","FOSTER - SERVICOS MEDICOS LTDA","Clinica","EPP"
"CHURRASCARIA A LIDER LTDA","indepen@terra.com.br","CHURRASCARIA A LIDER LTDA","Restaurante","ME/MEI"
"CLINICA O.C. MEDICINA S/S","societario@contabilmoyses.com.br","CLINICA O.C. MEDICINA S/S","Clinica","ME/MEI"
"RIZOTO CENTER 3 LANCHES LTDA","boavistacontabil@boavistacontabil.com.br","RIZOTO CENTER 3 LANCHES LTDA","Restaurante","ME/MEI"
"REGINA LUCIA DA SILVA NEVES BAR E LANCHES","conpuma@ig.com.br","REGINA LUCIA DA SILVA NEVES BAR E LANCHES","Restaurante","ME/MEI"
"REQUINTE RESTAURANTE LTDA","comprasbucatini@gmail.com","REQUINTE RESTAURANTE LTDA","Restaurante","EPP"
"LIBERSERV MEDICINA DO TRABALHO LTDA","medicina@liberass.com.br","LIBERSERV MEDICINA DO TRABALHO LTDA","Clinica","EPP"
"DOCTOR S CARE SERVICOS MEDICOS LTDA","celtavolari@gmail.com","DOCTOR S CARE SERVICOS MEDICOS LTDA","Clinica","EPP"
"PITHIORETTO PIZZAS, MASSAS, RESTAURANTE E DELIVERY LTDA.","michel@adwconsult.com.br","PITHIORETTO PIZZAS, MASSAS, RESTAURANTE E DELIVERY LTDA.","Restaurante","ME/MEI"
"OCULARE OFTALMOLOGIA ESPECIALIZADA LTDA","drgabrielcastrousp@gmail.com","OCULARE OFTALMOLOGIA ESPECIALIZADA LTDA","Clinica","EPP"
"BOARI & BRANDINA SERVICOS MEDICOS LTDA","ricardoboari@gmail.com","BOARI & BRANDINA SERVICOS MEDICOS LTDA","Clinica","ME/MEI"
"CIRPEMED - SERVICOS MEDICOS S/S","juliana.almeida@apisassociados.com.br","CIRPEMED - SERVICOS MEDICOS S/S","Clinica","EPP"
"CLINICA MILMAN MED LTDA","sergiomsgs@hotmail.com","CLINICA MILMAN MED LTDA","Clinica","EPP"
"PIC NIC SUCOS E LANCHES LTDA","tropper@terra.com.br","PIC NIC SUCOS E LANCHES LTDA","Restaurante","ME/MEI"
"CLINICA MEDICA RHEUMATIC S/S LTDA","lucienhenriii@gmail.com","CLINICA MEDICA RHEUMATIC S/S LTDA","Clinica","ME/MEI"
"CABO VERDE RESTAURANTE LTDA","renato@vianaduarte.com.br","CABO VERDE RESTAURANTE LTDA","Restaurante","ME/MEI"
"RMF CONSULTORIO MEDICO","rubens.macedo.filho@gmail.com","RMF CONSULTORIO MEDICO","Clinica","ME/MEI"
"BEL LANCHES LTDA","rnldmilan@gmail.com","BEL LANCHES LTDA","Restaurante","ME/MEI"
"LANCHES B H LTDA","lanchesbh1533@gmail.com","LANCHES B H LTDA","Restaurante","ME/MEI"
"CLINICA MEDICA REZEK & LOPES LTDA","contato@contabilleonardis.com.br","CLINICA MEDICA REZEK & LOPES LTDA","Clinica","EPP"
"WAGNER MUNHOZ DAVINO","flashcontabil@uol.com.br","WAGNER MUNHOZ DAVINO","Restaurante","ME/MEI"
"YPIRANGA & FONSECA SAUDE LTDA","rodrigo.plastica@gmail.com","YPIRANGA & FONSECA SAUDE LTDA","Clinica","ME/MEI"
"OFTOCIRUR CLINICA OFTALMOLOGICA LTDA.","minhapj@mitfokus.com.br","OFTOCIRUR CLINICA OFTALMOLOGICA LTDA.","Clinica","ME/MEI"
"RESTAURANTE CAMPEAO LTDA","sem.email@sem.email","RESTAURANTE CAMPEAO LTDA","Restaurante","ME/MEI"
"ARAUJO LAPA SERVICOS MEDICOS LTDA","diretoria@marajoaracontabil.com.br","ARAUJO LAPA SERVICOS MEDICOS LTDA","Clinica","EPP"
"PERFIL CIRURGIA PLASTICA LTDA.","fbrasileiro@uol.com.br","PERFIL CIRURGIA PLASTICA LTDA.","Clinica","ME/MEI"
"MARILEIDE SOARES VILA NOVA - LANCHONETE","osvair.pereira@uol.com.br","MARILEIDE SOARES VILA NOVA - LANCHONETE","Restaurante","ME/MEI"
"53.485.207 JOSE ZITO MARQUES DOS SANTOS","bruno.contabilmota@hotmail.com","53.485.207 JOSE ZITO MARQUES DOS SANTOS","Restaurante","ME/MEI"
"KANBU BAR LTDA","reparticao@luzitanacontabilidade.com.br","KANBU BAR LTDA","Restaurante","ME/MEI"
"UESP UNIDADE ECOCARDIOGRAFICA DE SAO PAULO S/S LTDA","contabilidade@xable.com.br","UESP UNIDADE ECOCARDIOGRAFICA DE SAO PAULO S/S LTDA","Clinica","ME/MEI"
"E.T.L. SERVICOS MEDICOS LTDA","ana.tognotti@gmail.com","E.T.L. SERVICOS MEDICOS LTDA","Clinica","EPP"
"B. J. COMERCIO DE REFEICOES LTDA","contabilmiami@terra.com.br","B. J. COMERCIO DE REFEICOES LTDA","Restaurante","ME/MEI"
"BEI JING HUO GUO RESTAURANTE LTDA","star.assessoria@globo.com","BEI JING HUO GUO RESTAURANTE LTDA","Restaurante","ME/MEI"
"CLINICA CLIVAN DE PRESTACAO DE SERVICOS DE SAUDE LTDA.","clivan.vanice@uol.com.br","CLINICA CLIVAN DE PRESTACAO DE SERVICOS DE SAUDE LTDA.","Clinica","EPP"
"CLINICA DE CIRURGIA PLASTICA DR. EMANUEL BAMBIOLAKIS LTDA","contagel@uol.com.br","CLINICA DE CIRURGIA PLASTICA DR. EMANUEL BAMBIOLAKIS LTDA","Clinica","EPP"
"VILMA'S DOCERIA ROTISSERIE E BUFFET LTDA","ritacontadora@hotmail.com","VILMA'S DOCERIA ROTISSERIE E BUFFET LTDA","Restaurante","ME/MEI"
"JARDIM PAULISTA CASA DO LANCHE LTDA","restaurantemorpara@gmail.com","JARDIM PAULISTA CASA DO LANCHE LTDA","Restaurante","ME/MEI"
"FRANCISCO LUIZ DE NORONHA","stimullo2010@hotmail.com","FRANCISCO LUIZ DE NORONHA","Restaurante","ME/MEI"
"DR MARCIO HENRIQUE DIAS OFTALMOLOGISTAS LTDA","marciohd2@gmail.com","DR MARCIO HENRIQUE DIAS OFTALMOLOGISTAS LTDA","Clinica","ME/MEI"
"DORIA & XAVIER SERVICOS MEDICOS SOCIEDADE SIMPLES LIMITADA","consultorio@sandradoria.com.br","DORIA & XAVIER SERVICOS MEDICOS SOCIEDADE SIMPLES LIMITADA","Clinica","ME/MEI"
"LANCHES MILENIO LTDA","bardofifi2016@hotmail.com","LANCHES MILENIO LTDA","Restaurante","ME/MEI"
"BELA NAPOLE - ESFIHA E PIZZAS LTDA","escori @ uol.com.br","BELA NAPOLE - ESFIHA E PIZZAS LTDA","Restaurante","ME/MEI"
"HANNA CAFE LTDA","cafebistrocida@gmail.com","HANNA CAFE LTDA","Restaurante","ME/MEI"
"BAR E LANCHES ZE RIBBA LTDA","elosp@terra.com.br","BAR E LANCHES ZE RIBBA LTDA","Restaurante","ME/MEI"
"KADILSU'S LANCHONETE LTDA","lanchonetekadilsus@gmail.com","KADILSU'S LANCHONETE LTDA","Restaurante","ME/MEI"
"CLICIA APARECIDA RODRIGUES TROVELLO","clicia.trovello@gmail.com","CLICIA APARECIDA RODRIGUES TROVELLO","Restaurante","ME/MEI"
"KLABIN RESTAURANTE E LANCHONETE LTDA","cont@terra.com.br","KLABIN RESTAURANTE E LANCHONETE LTDA","Restaurante","ME/MEI"
"ENDOLOGICA - SERVICOS MEDICOS E DIAGNOSTICOS LTDA","dcont@dcont.com.br","ENDOLOGICA - SERVICOS MEDICOS E DIAGNOSTICOS LTDA","Clinica","ME/MEI"
"BECAFE CLINICA MEDICA LTDA","becafe@becafemedicinadotrabalho.com.br","BECAFE CLINICA MEDICA LTDA","Clinica","ME/MEI"
"UROPED SERVICOS MEDICOS E ASSOCIADOS SS","legalizacao@mastercontabilsp.com.br","UROPED SERVICOS MEDICOS E ASSOCIADOS SS","Clinica","EPP"
"CLINICA HATTI DE OFTALMOLOGIA LTDA.","esca@uol.com.br","CLINICA HATTI DE OFTALMOLOGIA LTDA.","Clinica","ME/MEI"
"BAR E LANCHES CHEGA MAIS LTDA","barlancheschegamais07@gmail.com","BAR E LANCHES CHEGA MAIS LTDA","Restaurante","ME/MEI"
"CLIM SERVICOS MEDICOS ESPECIALIZADOS S/S LTDA","climvita@yahoo.com.br","CLIM SERVICOS MEDICOS ESPECIALIZADOS S/S LTDA","Clinica","ME/MEI"
"BAR E LANCHES FLOR DE VIANA LTDA","societaria@decastrocontabil.com.br","BAR E LANCHES FLOR DE VIANA LTDA","Restaurante","ME/MEI"
"PASTEL E ACAI LANCHONETE LTDA","contaro@ig.com.br","PASTEL E ACAI LANCHONETE LTDA","Restaurante","ME/MEI"
"BAR E LANCHONETE MARINITA LTDA","souzadiascontabil@terra.com.br","BAR E LANCHONETE MARINITA LTDA","Restaurante","ME/MEI"
"CLINICA MEDIX SERVICOS MEDICOS S/S","margarete21@yahoo.com","CLINICA MEDIX SERVICOS MEDICOS S/S","Clinica","EPP"
"BAR E LANCHES CENTRAL DA MOOCA LTDA","brilexsacontabilida@terra.com.br","BAR E LANCHES CENTRAL DA MOOCA LTDA","Restaurante","ME/MEI"
"LUIZ RODRIGUES BORGES LANCHONETE","lanchoneteoencontro@outlook.com","LUIZ RODRIGUES BORGES LANCHONETE","Restaurante","ME/MEI"
"ORTOSERV SERVICOS MEDICOS LTDA","luizrusso696@gmail.com","ORTOSERV SERVICOS MEDICOS LTDA","Clinica","EPP"
"PROAZ CLINICA MEDICA LTDA","cidafarias@apj.srv.br","PROAZ CLINICA MEDICA LTDA","Clinica","EPP"
"ORTHOCARE SERVICOS MEDICOS S/S LTDA","walterfascioli@ig.com.br","ORTHOCARE SERVICOS MEDICOS S/S LTDA","Clinica","ME/MEI"
